"module","module_size","overlap","p","FDR","genes"
"199","9373","36","0.96868","1.0000","NGF;SH2B3;GNPDA2;DHX38;SKI;FURIN;ADAMTS7;PCNXL3;LPAL2;RAI1;SMARCA4;HIP1;PDE3A;MARK4;HDAC9;GUCY1A3;KSR2;C3orf38;TCF21;PHACTR1;MRAS;ABO;RPH3A;COL4A2;COL4A1;ATP2B1;ANKS1A;MTAP;LPA;BMP1;BNC2;TOM1L2;KCNK5;SPC24;MYBPHL;NOA1"
"79","790","1","0.98015","1.0000","PROCR"
"120","792","1","0.98034","1.0000","CYP17A1"
"78","1270","2","0.98692","1.0000","ABCG8;ATP1B1"
"80","1323","2","0.98965","1.0000","TRAFD1;ABO"
"85","1381","1","0.99901","1.0000","CYP46A1"
"209","4614","10","0.99949","1.0000","ADORA2A;CNNM2;MFGE8;RASD1;VAMP8;PPP2R3A;PODXL;UBE2Z;SKI;BCAS3"
"222","175","0","1.0000","1.0000",""
"216","175","0","1.0000","1.0000",""
"221","44","0","1.0000","1.0000",""
"192","122","0","1.0000","1.0000",""
"214","229","0","1.0000","1.0000",""
"211","184","0","1.0000","1.0000",""
"207","52","0","1.0000","1.0000",""
"180","43","0","1.0000","1.0000",""
"190","19","0","1.0000","1.0000",""
"193","142","0","1.0000","1.0000",""
"215","100","0","1.0000","1.0000",""
"203","50","0","1.0000","1.0000",""
"1","81","0","1.0000","1.0000",""
"161","66","0","1.0000","1.0000",""
"93","49","0","1.0000","1.0000",""
"90","41","0","1.0000","1.0000",""
"86","301","0","1.0000","1.0000",""
"75","95","0","1.0000","1.0000",""
"73","63","0","1.0000","1.0000",""
"72","56","0","1.0000","1.0000",""
"68","223","0","1.0000","1.0000",""
"64","31","0","1.0000","1.0000",""
"62","38","0","1.0000","1.0000",""
"54","119","0","1.0000","1.0000",""
"95","108","0","1.0000","1.0000",""
"46","46","0","1.0000","1.0000",""
"41","169","0","1.0000","1.0000",""
"37","176","0","1.0000","1.0000",""
"34","206","0","1.0000","1.0000",""
"26","377","0","1.0000","1.0000",""
"25","66","0","1.0000","1.0000",""
"24","80","0","1.0000","1.0000",""
"22","83","0","1.0000","1.0000",""
"21","14","0","1.0000","1.0000",""
"5","100","0","1.0000","1.0000",""
"2","64","0","1.0000","1.0000",""
"42","41","0","1.0000","1.0000",""
"96","41","0","1.0000","1.0000",""
"99","67","0","1.0000","1.0000",""
"100","29","0","1.0000","1.0000",""
"160","138","0","1.0000","1.0000",""
"158","167","0","1.0000","1.0000",""
"157","16","0","1.0000","1.0000",""
"156","73","0","1.0000","1.0000",""
"149","192","0","1.0000","1.0000",""
"147","192","0","1.0000","1.0000",""
"146","61","0","1.0000","1.0000",""
"143","70","0","1.0000","1.0000",""
"134","337","0","1.0000","1.0000",""
"133","57","0","1.0000","1.0000",""
"132","121","0","1.0000","1.0000",""
"130","31","0","1.0000","1.0000",""
"129","66","0","1.0000","1.0000",""
"126","80","0","1.0000","1.0000",""
"124","43","0","1.0000","1.0000",""
"118","214","0","1.0000","1.0000",""
"117","389","0","1.0000","1.0000",""
"223","125","0","1.0000","1.0000",""
"111","68","0","1.0000","1.0000",""
"109","41","0","1.0000","1.0000",""
"107","415","0","1.0000","1.0000",""
"105","109","0","1.0000","1.0000",""
"101","430","0","1.0000","1.0000",""
"172","75","0","1.0000","1.0000",""
"112","17","0","1.0000","1.0000",""
