"module","module_size","overlap","p","FDR","genes"
"61","209","1","0.85340","1.0000","PSMA5"
"68","223","1","0.87115","1.0000","KATNA1"
"119","252","1","0.90140","1.0000","POC1B"
"79","790","4","0.93147","1.0000","ZNF24;TAF11;C6orf106;CYP2C8"
"86","301","1","0.93730","1.0000","IRS2"
"135","1369","7","0.96841","1.0000","GID4;BORCS7;CYP20A1;USP10;TVP23B;FDX1;CFDP1"
"15","2476","15","0.96859","1.0000","TAF1A-AS1;IL1RN;LOXL4;VSNL1;WNT3;ADGRF3;SRP68;FCHO1;NT5C2;POLR3D;UBE2Z;NDE1;FAM117B;HTRA1;HAPLN3"
"84","413","1","0.97779","1.0000","TRIM58"
"101","430","1","0.98103","1.0000","PCDHGB6"
"120","792","2","0.99454","1.0000","NDE1;KCNJ13"
"209","4614","26","0.99838","1.0000","KCNJ13;CDH13;MFGE8;SUMO4;WDR86;TDRD15;LOXL4;ARHGAP42;ANAPC13;TUBG2;NGRN;PDLIM4;BRCA2;MRPS6;PRSS12;CCDC36;IP6K2;CYP17A1-AS1;NIPSNAP1;CNNM2;NUP210L;VAMP8;POLR3D;UBE2Z;BLMH;EFCAB5"
"203","50","0","1.0000","1.0000",""
"94","125","0","1.0000","1.0000",""
"93","49","0","1.0000","1.0000",""
"221","44","0","1.0000","1.0000",""
"46","46","0","1.0000","1.0000",""
"215","100","0","1.0000","1.0000",""
"71","205","0","1.0000","1.0000",""
"3","115","0","1.0000","1.0000",""
"75","95","0","1.0000","1.0000",""
"212","54","0","1.0000","1.0000",""
"54","119","0","1.0000","1.0000",""
"2","64","0","1.0000","1.0000",""
"52","119","0","1.0000","1.0000",""
"100","29","0","1.0000","1.0000",""
"96","41","0","1.0000","1.0000",""
"142","177","0","1.0000","1.0000",""
"62","38","0","1.0000","1.0000",""
"132","121","0","1.0000","1.0000",""
"130","31","0","1.0000","1.0000",""
"149","192","0","1.0000","1.0000",""
"129","66","0","1.0000","1.0000",""
"25","66","0","1.0000","1.0000",""
"124","43","0","1.0000","1.0000",""
"24","80","0","1.0000","1.0000",""
"115","121","0","1.0000","1.0000",""
"157","16","0","1.0000","1.0000",""
"160","138","0","1.0000","1.0000",""
"22","83","0","1.0000","1.0000",""
"164","52","0","1.0000","1.0000",""
"111","68","0","1.0000","1.0000",""
"42","41","0","1.0000","1.0000",""
"109","41","0","1.0000","1.0000",""
"43","99","0","1.0000","1.0000",""
"172","75","0","1.0000","1.0000",""
"21","14","0","1.0000","1.0000",""
"18","116","0","1.0000","1.0000",""
"179","46","0","1.0000","1.0000",""
"34","206","0","1.0000","1.0000",""
"99","67","0","1.0000","1.0000",""
"44","128","0","1.0000","1.0000",""
"97","99","0","1.0000","1.0000",""
"188","36","0","1.0000","1.0000",""
"95","108","0","1.0000","1.0000",""
"143","70","0","1.0000","1.0000",""
