"target_tissue","target_clust","target_gene_symbol","endocrine","source_tissue","source_clust","cor","p","key_driver_FDR"
"LIV",98,"FAM213A","EGFL6","SF",78,0.358397795720546,1.43293013812486e-16,NA
"LIV",98,"ADIPOR2","EGFL6","SF",78,0.306013415323045,2.80854889704236e-12,NA
"LIV",98,"SQLE","EGFL6","SF",78,0.284348162893262,9.80322059076734e-11,NA
"LIV",98,"ACACA","EGFL6","SF",78,0.274375787651598,4.55406930204397e-10,NA
"LIV",98,"TMCO6","EGFL6","SF",78,-0.266819412041461,1.40009682086865e-09,1.35066712165259e-19
"LIV",98,"PI4K2A","EGFL6","SF",78,0.262162401248376,2.74965817243163e-09,NA
"LIV",98,"FADS2","EGFL6","SF",78,0.261039389899444,3.22935351102587e-09,NA
"LIV",98,"HMGCS1","EGFL6","SF",78,0.255329625507186,7.22987232919627e-09,5.58412653354701e-30
"LIV",98,"ELOVL5","EGFL6","SF",78,0.255238662889573,7.32214959401602e-09,3.80097933647115e-08
"LIV",98,"TM7SF2","EGFL6","SF",78,0.249625076386341,1.58651610169011e-08,NA
"LIV",98,"ACACB","EGFL6","SF",78,0.246607981378382,2.38563541882737e-08,NA
"LIV",98,"ELOVL6","EGFL6","SF",78,0.24454212007013,3.14468022752345e-08,NA
"LIV",98,"HSD17B7","EGFL6","SF",78,0.237565170980398,7.84884334533776e-08,3.2370696429958e-23
"LIV",98,"IDI1","EGFL6","SF",78,0.237180482956185,8.24807851874877e-08,NA
"LIV",98,"TDRKH","EGFL6","SF",78,0.232915728705899,1.42154677207998e-07,NA
"LIV",98,"SREBF2","EGFL6","SF",78,0.232589014090211,1.48144552074614e-07,5.81378709234782e-05
"LIV",98,"NSDHL","EGFL6","SF",78,0.231777873894657,1.64086549716716e-07,NA
"LIV",98,"MVD","EGFL6","SF",78,0.227774450584776,2.70252291123527e-07,1.02325892218297e-27
"LIV",98,"CYP51A1","EGFL6","SF",78,0.227081533892639,2.94357379817282e-07,NA
"LIV",98,"PNPLA3","EGFL6","SF",78,0.2269602316561,2.98784810001635e-07,NA
"LIV",98,"FDFT1","EGFL6","SF",78,0.224664041602103,3.95739408138746e-07,2.12173714047761e-23
"LIV",98,"HSD17B7P2","EGFL6","SF",78,0.218780184263449,8.02206351388463e-07,NA
"VAF",98,"GSR","EGFL6","SF",78,0.22276218934515,8.23017384924269e-07,NA
"LIV",98,"FDPS","EGFL6","SF",78,0.216201240016547,1.08679015205228e-06,NA
"LIV",98,"RP11-159F24.2","EGFL6","SF",78,0.215226157645285,1.21781907227125e-06,NA
"LIV",98,"TLCD1","EGFL6","SF",78,0.21402277595136,1.40048726590477e-06,NA
"LIV",98,"CTD-2636A23.2","EGFL6","SF",78,0.213582758619686,1.47362140025567e-06,NA
"LIV",98,"C2orf82","EGFL6","SF",78,0.209910767157408,2.24418814269015e-06,NA
"LIV",98,"FADS1","EGFL6","SF",78,0.208859455321982,2.52793600468044e-06,NA
"LIV",98,"ALDOC","EGFL6","SF",78,0.207133138520506,3.06973217500737e-06,NA
"LIV",98,"HMGCR","EGFL6","SF",78,0.206156526177659,3.42370473356057e-06,NA
"LIV",98,"ACSS2","EGFL6","SF",78,0.205307534576719,3.76283030072007e-06,1.51196304724992e-19
"LIV",98,"RUSC1-AS1","EGFL6","SF",78,0.201526093764065,5.70347866397787e-06,3.9841649730727e-07
"LIV",98,"MVK","EGFL6","SF",78,0.198486179970275,7.92320649147217e-06,NA
"LIV",98,"VPS37D","EGFL6","SF",78,0.189878024389875,1.95629669303927e-05,NA
"LIV",98,"NPC1L1","EGFL6","SF",78,0.189388674042362,2.05698853220941e-05,NA
"LIV",98,"ACAT2","EGFL6","SF",78,0.187716219354855,2.43955290229349e-05,NA
"LIV",98,"RP4-639F20.1","EGFL6","SF",78,0.187140087670007,2.58630326780608e-05,NA
"LIV",98,"CYP51A1P2","EGFL6","SF",78,0.180123687968067,5.19419556096993e-05,NA
"LIV",98,"MMAB","EGFL6","SF",78,0.179653072316095,5.43785629155505e-05,NA
"LIV",98,"C14orf1","EGFL6","SF",78,0.177938309668976,6.42013526961429e-05,2.46883021079664e-40
"LIV",98,"MSMO1","EGFL6","SF",78,0.177529600720632,6.67781283016532e-05,NA
"LIV",98,"DHCR24","EGFL6","SF",78,0.176588410382495,7.30879240064651e-05,NA
"LIV",98,"PCSK9","EGFL6","SF",78,0.173480224283068,9.81547674541687e-05,2.64487723879423e-17
"LIV",98,"LSS","EGFL6","SF",78,0.172363734688713,0.000108988545179039,2.15988612570114e-11
"LIV",98,"CTD-2235C13.3","EGFL6","SF",78,0.169427345300082,0.000143095682828637,NA
"LIV",98,"RDH11","EGFL6","SF",78,0.169178271058915,0.00014640886853664,NA
"LIV",98,"CYB5B","EGFL6","SF",78,0.167953342047019,0.000163777178055755,NA
"LIV",98,"NEK8","EGFL6","SF",78,0.164629040790203,0.000221151481309041,NA
"LIV",98,"SC5D","EGFL6","SF",78,0.156130709430003,0.000464493022685305,NA
"LIV",98,"TMEM97","EGFL6","SF",78,0.154035493621013,0.0005546119846206,NA
"LIV",98,"CETN2","EGFL6","SF",78,0.148835350208158,0.000853040687085163,NA
"LIV",98,"TIMM10B","EGFL6","SF",78,0.146951906982257,0.000993662839861336,NA
"LIV",98,"IDI2-AS1","EGFL6","SF",78,0.143734479246832,0.00128430010901811,NA
"LIV",98,"DHCR7","EGFL6","SF",78,0.142861069971426,0.00137571625055692,NA
"LIV",98,"EBP","EGFL6","SF",78,0.142033480443282,0.00146782042501446,1.31030044084685e-32
"LIV",98,"SNAI3-AS1","EGFL6","SF",78,0.137723651974749,0.00204578523631093,NA
"LIV",98,"ACLY","EGFL6","SF",78,0.137360062940697,0.00210301349386515,1.2441778011513e-18
"LIV",98,"RP5-821D11.7","EGFL6","SF",78,0.136735859197998,0.00220468594863672,NA
"LIV",98,"AACS","EGFL6","SF",78,0.128847611354877,0.00393850392572827,NA
"LIV",98,"RP11-297N6.4","EGFL6","SF",78,0.127777492961481,0.00425110084255694,NA
"LIV",98,"FLVCR1","EGFL6","SF",78,0.125972931746238,0.00482937852049124,NA
"LIV",98,"MRPS27","EGFL6","SF",78,0.120007079416911,0.00728043219125071,NA
"LIV",98,"TMEM55B","EGFL6","SF",78,0.109390938938047,0.0144924057928495,NA
"LIV",98,"AP001469.5","EGFL6","SF",78,0.102881409612773,0.0215313514061145,NA
"LIV",98,"SCD","EGFL6","SF",78,0.0983865055598208,0.027976883673891,7.00644105625394e-10
"LIV",98,"AK7","EGFL6","SF",78,0.0863626146549766,0.0538601235811264,NA
"LIV",98,"AC144652.1","EGFL6","SF",78,0.0825542589644175,0.0653810247227106,NA
"LIV",98,"PGD","EGFL6","SF",78,0.0698292039882317,0.119267300590263,NA
"LIV",98,"NPC1","EGFL6","SF",78,0.0668738748603736,0.135758641986355,NA
"LIV",98,"TKT","EGFL6","SF",78,0.0290073351867943,0.517964806031057,NA
"LIV",98,"RAB5B","EGFL6","SF",78,0.0142066969814297,0.751567127245672,NA
"VAF",98,"GSR","C6","VAF",78,-0.435591278361072,4.33020467082224e-26,NA
"LIV",98,"ACACA","C6","VAF",78,-0.304889185829417,2.78832462120774e-12,NA
"LIV",98,"TMCO6","C6","VAF",78,0.280245738187566,1.5714483591681e-10,1.35066712165259e-19
"LIV",98,"ELOVL6","C6","VAF",78,-0.276147361434519,2.95999258487745e-10,NA
"LIV",98,"ADIPOR2","C6","VAF",78,-0.269891888855915,7.62607842171947e-10,NA
"LIV",98,"FADS2","C6","VAF",78,-0.266812247830188,1.20450824133694e-09,NA
"LIV",98,"FAM213A","C6","VAF",78,-0.262912365359464,2.13101301488685e-09,NA
"LIV",98,"ACACB","C6","VAF",78,-0.262381220155734,2.30155768578068e-09,NA
"LIV",98,"PNPLA3","C6","VAF",78,-0.253581397920774,8.03963786621527e-09,NA
"LIV",98,"SQLE","C6","VAF",78,-0.252683521968914,9.11026001141543e-09,NA
"LIV",98,"HSD17B7","C6","VAF",78,-0.24819614064539,1.68953121322981e-08,3.2370696429958e-23
"LIV",98,"MVK","C6","VAF",78,-0.245548165730998,2.41894434928101e-08,NA
"LIV",98,"FDFT1","C6","VAF",78,-0.237284409074032,7.2203973039639e-08,2.12173714047761e-23
"LIV",98,"HMGCS1","C6","VAF",78,-0.236283459192471,8.22083926702013e-08,5.58412653354701e-30
"LIV",98,"PI4K2A","C6","VAF",78,-0.235125242460838,9.54578140361765e-08,NA
"LIV",98,"CYB5B","C6","VAF",78,-0.232964407712612,1.2588825887799e-07,NA
"LIV",98,"MVD","C6","VAF",78,-0.22779428122474,2.41430542592851e-07,1.02325892218297e-27
"LIV",98,"SREBF2","C6","VAF",78,-0.227138535615435,2.61931217530101e-07,5.81378709234782e-05
"LIV",98,"NSDHL","C6","VAF",78,-0.223549916099563,4.07387650315075e-07,NA
"LIV",98,"RUSC1-AS1","C6","VAF",78,-0.22218354473906,4.81071862799771e-07,3.9841649730727e-07
"LIV",98,"TDRKH","C6","VAF",78,-0.220172041732255,6.13293782204496e-07,NA
"LIV",98,"TIMM10B","C6","VAF",78,-0.219139830660418,6.94065580079037e-07,NA
"LIV",98,"HSD17B7P2","C6","VAF",78,-0.21334071899391,1.37546012175918e-06,NA
"LIV",98,"ELOVL5","C6","VAF",78,-0.212429396731858,1.52892655963867e-06,3.80097933647115e-08
"LIV",98,"IDI1","C6","VAF",78,-0.211553948440433,1.69171756416966e-06,NA
"LIV",98,"CTD-2636A23.2","C6","VAF",78,-0.208190277172009,2.48565942536677e-06,NA
"LIV",98,"FADS1","C6","VAF",78,-0.208114795933588,2.50703538956416e-06,NA
